Year,State,Region,Democratic %,Republican %,P.S.,P.S. Score,National Winner,State Winner
2016,New Hampshire,Northeast,46.8%,46.5%,R+,-1.83,Trump (R),Republican
2020,New Hampshire,Northeast,52.7%,45.4%,D+,2.96,Biden (D),Democrat
2024,New Hampshire,Northeast,50.6%,47.9%,D+,4.32,Trump (R),Democrat
1976,New Jersey,Northeast,47.9%,50.1%,R+,-4.31,Carter (D),Republican
1980,New Jersey,Northeast,38.6%,52.0%,R+,-4.21,Reagan (R),Republican
1984,New Jersey,Northeast,39.2%,60.1%,R+,-2.70,Reagan (R),Republican
1988,New Jersey,Northeast,42.6%,56.2%,R+,-6.00,Bush H.W. (R),Republican
1992,New Jersey,Northeast,43.0%,40.6%,R+,-4.07,Clinton (D),Republican
1996,New Jersey,Northeast,53.7%,35.9%,D+,10.46,Clinton (D),Democrat
2000,New Jersey,Northeast,56.1%,40.3%,D+,15.88,Bush W. (R),Democrat
2004,New Jersey,Northeast,52.9%,46.2%,D+,9.23,Bush W. (R),Democrat
2008,New Jersey,Northeast,57.1%,41.6%,D+,8.35,Obama (D),Democrat
2012,New Jersey,Northeast,58.2%,40.5%,D+,14.04,Obama (D),Democrat
2016,New Jersey,Northeast,55.0%,41.0%,D+,12.34,Trump (R),Democrat
2020,New Jersey,Northeast,57.1%,41.3%,D+,11.60,Biden (D),Democrat
2024,New Jersey,Northeast,51.8%,45.9%,D+,7.53,Trump (R),Democrat
1976,New Mexico,West,48.3%,50.7%,R+,-4.59,Carter (D),Republican
1980,New Mexico,West,36.8%,55.0%,R+,-9.21,Reagan (R),Republican
1984,New Mexico,West,39.2%,59.7%,R+,-2.36,Reagan (R),Republican
1988,New Mexico,West,46.9%,51.9%,D+,2.78,Bush H.W. (R),Democrat
1992,New Mexico,West,45.9%,37.3%,D+,3.37,Clinton (D),Democrat
1996,New Mexico,West,49.2%,41.9%,R+,-1.42,Clinton (D),Republican
2000,New Mexico,West,47.9%,47.8%,R+,-0.48,Bush W. (R),Republican
2004,New Mexico,West,49.0%,49.8%,D+,1.69,Bush W. (R),Democrat
2008,New Mexico,West,56.9%,41.8%,D+,7.95,Obama (D),Democrat
2012,New Mexico,West,53.0%,42.8%,D+,6.66,Obama (D),Democrat
2016,New Mexico,West,48.3%,40.0%,D+,7.08,Trump (R),Democrat
2020,New Mexico,West,54.3%,43.5%,D+,6.50,Biden (D),Democrat
2024,New Mexico,West,51.9%,45.9%,D+,7.64,Trump (R),Democrat
1976,New York,Northeast,51.9%,47.5%,D+,2.34,Carter (D),Democrat
1980,New York,Northeast,44.0%,46.7%,D+,7.67,Reagan (R),Democrat
1984,New York,Northeast,45.8%,53.8%,D+,10.30,Reagan (R),Democrat
1988,New York,Northeast,51.6%,47.5%,D+,11.94,Bush H.W. (R),Democrat
1992,New York,Northeast,49.7%,33.9%,D+,12.05,Clinton (D),Democrat
1996,New York,Northeast,59.5%,30.6%,D+,22.56,Clinton (D),Democrat
2000,New York,Northeast,60.2%,35.2%,D+,25.66,Bush W. (R),Democrat
2004,New York,Northeast,58.4%,40.1%,D+,21.06,Bush W. (R),Democrat
2008,New York,Northeast,62.9%,36.0%,D+,19.78,Obama (D),Democrat
2012,New York,Northeast,63.3%,35.2%,D+,24.67,Obama (D),Democrat
2016,New York,Northeast,59.0%,36.5%,D+,21.32,Trump (R),Democrat
2020,New York,Northeast,60.9%,37.8%,D+,18.91,Biden (D),Democrat
2024,New York,Northeast,55.6%,43.1%,D+,14.18,Trump (R),Democrat
1976,North Carolina,South,55.3%,44.2%,D+,9.00,Carter (D),Democrat
1980,North Carolina,South,47.2%,49.3%,D+,8.41,Reagan (R),Democrat
1984,North Carolina,South,37.9%,61.9%,R+,-5.72,Reagan (R),Republican
1988,North Carolina,South,41.7%,58.0%,R+,-8.51,Bush H.W. (R),Republican
1992,North Carolina,South,42.7%,43.4%,R+,-7.83,Clinton (D),Republican
1996,North Carolina,South,44.0%,48.7%,R+,-14.53,Clinton (D),Republican
2000,North Carolina,South,43.2%,56.0%,R+,-13.47,Bush W. (R),Republican
2004,North Carolina,South,43.6%,56.0%,R+,-10.00,Bush W. (R),Republican
2008,North Carolina,South,49.7%,49.4%,R+,-7.04,Obama (D),Republican
2012,North Carolina,South,48.4%,50.4%,R+,-6.00,Obama (D),Republican
2016,North Carolina,South,46.2%,49.8%,R+,-6.03,Trump (R),Republican
2020,North Carolina,South,48.6%,49.9%,R+,-5.91,Biden (D),Republican
2024,North Carolina,South,47.6%,50.9%,R+,-1.76,Trump (R),Republican
1976,North Dakota,Midwest,45.8%,51.7%,R+,-8.11,Carter (D),Republican
1980,North Dakota,Midwest,26.3%,64.2%,R+,-31.35,Reagan (R),Republican
1984,North Dakota,Midwest,33.8%,64.8%,R+,-13.13,Reagan (R),Republican
1988,North Dakota,Midwest,43.0%,56.0%,R+,-5.39,Bush H.W. (R),Republican
1992,North Dakota,Midwest,32.2%,44.2%,R+,-22.66,Clinton (D),Republican
1996,North Dakota,Midwest,40.1%,46.9%,R+,-17.29,Clinton (D),Republican
2000,North Dakota,Midwest,33.1%,60.7%,R+,-29.99,Bush W. (R),Republican
2004,North Dakota,Midwest,35.5%,62.9%,R+,-25.33,Bush W. (R),Republican
2008,North Dakota,Midwest,44.5%,53.2%,R+,-16.23,Obama (D),Republican
2012,North Dakota,Midwest,38.7%,58.3%,R+,-24.16,Obama (D),Republican
2016,North Dakota,Midwest,27.2%,63.0%,R+,-41.84,Trump (R),Republican
2020,North Dakota,Midwest,31.8%,65.1%,R+,-38.97,Biden (D),Republican
2024,North Dakota,Midwest,30.5%,67.0%,R+,-35.89,Trump (R),Republican
1976,Ohio,Midwest,48.9%,48.7%,R+,-1.83,Carter (D),Republican
1980,Ohio,Midwest,40.9%,51.5%,R+,-0.86,Reagan (R),Republican
1984,Ohio,Midwest,40.1%,58.9%,R+,-0.60,Reagan (R),Republican
1988,Ohio,Midwest,44.1%,55.0%,R+,-3.15,Bush H.W. (R),Republican
1992,Ohio,Midwest,40.2%,38.3%,R+,-4.57,Clinton (D),Republican
1996,Ohio,Midwest,47.4%,41.0%,R+,-2.28,Clinton (D),Republican
2000,Ohio,Midwest,46.5%,50.0%,R+,-4.18,Bush W. (R),Republican
2004,Ohio,Midwest,48.7%,50.8%,D+,0.37,Bush W. (R),Democrat
2008,Ohio,Midwest,51.4%,46.8%,R+,-2.71,Obama (D),Republican
2012,Ohio,Midwest,50.6%,47.6%,R+,-0.90,Obama (D),Republican
2016,Ohio,Midwest,43.2%,51.3%,R+,-10.76,Trump (R),Republican
2020,Ohio,Midwest,45.2%,53.2%,R+,-12.69,Biden (D),Republican
2024,Ohio,Midwest,43.7%,54.8%,R+,-9.81,Trump (R),Republican
1976,Oklahoma,South,48.7%,50.0%,R+,-3.34,Carter (D),Republican
1980,Oklahoma,South,35.0%,60.5%,R+,-16.13,Reagan (R),Republican
1984,Oklahoma,South,30.7%,68.6%,R+,-19.88,Reagan (R),Republican
1988,Oklahoma,South,41.3%,57.9%,R+,-8.98,Bush H.W. (R),Republican
1992,Oklahoma,South,34.0%,42.6%,R+,-18.15,Clinton (D),Republican
1996,Oklahoma,South,40.4%,48.3%,R+,-18.27,Clinton (D),Republican
2000,Oklahoma,South,38.4%,60.3%,R+,-22.70,Bush W. (R),Republican
2004,Oklahoma,South,34.4%,65.6%,R+,-28.65,Bush W. (R),Republican
2008,Oklahoma,South,34.4%,65.6%,R+,-38.67,Obama (D),Republican
2012,Oklahoma,South,33.2%,66.8%,R+,-37.47,Obama (D),Republican
2016,Oklahoma,South,28.9%,65.3%,R+,-40.84,Trump (R),Republican
2020,Oklahoma,South,32.3%,65.4%,R+,-38.42,Biden (D),Republican
2024,Oklahoma,South,31.9%,66.2%,R+,-33.44,Trump (R),Republican
1976,Oregon,West,47.6%,47.8%,R+,-2.28,Carter (D),Republican
1980,Oregon,West,38.7%,48.3%,R+,-0.49,Reagan (R),Republican
1984,Oregon,West,43.7%,55.9%,D+,6.13,Reagan (R),Democrat
1988,Oregon,West,51.3%,46.6%,D+,12.57,Bush H.W. (R),Democrat
1992,Oregon,West,42.5%,32.5%,D+,6.36,Clinton (D),Democrat
1996,Oregon,West,47.2%,39.1%,R+,-0.08,Clinton (D),Republican
2000,Oregon,West,47.0%,46.5%,R+,-0.07,Bush W. (R),Republican
2004,Oregon,West,51.3%,47.2%,D+,6.71,Bush W. (R),Democrat
2008,Oregon,West,56.7%,40.4%,D+,9.45,Obama (D),Democrat
2012,Oregon,West,54.2%,42.1%,D+,8.61,Obama (D),Democrat
2016,Oregon,West,50.1%,39.1%,D+,10.09,Trump (R),Democrat
2020,Oregon,West,56.5%,40.4%,D+,12.07,Biden (D),Democrat
2024,Oregon,West,55.3%,41.0%,D+,16.37,Trump (R),Democrat
1976,Pennsylvania,Northeast,50.4%,47.7%,D+,0.61,Carter (D),Democrat
1980,Pennsylvania,Northeast,42.5%,49.6%,D+,2.89,Reagan (R),Democrat
1984,Pennsylvania,Northeast,46.0%,53.3%,D+,10.94,Reagan (R),Democrat
1988,Pennsylvania,Northeast,48.4%,50.7%,D+,5.46,Bush H.W. (R),Democrat
1992,Pennsylvania,Northeast,45.1%,36.1%,D+,4.19,Clinton (D),Democrat
1996,Pennsylvania,Northeast,49.2%,40.0%,D+,0.85,Clinton (D),Democrat
2000,Pennsylvania,Northeast,50.6%,46.4%,D+,3.76,Bush W. (R),Democrat
2004,Pennsylvania,Northeast,50.9%,48.4%,D+,5.00,Bush W. (R),Democrat
2008,Pennsylvania,Northeast,54.5%,44.2%,D+,3.08,Obama (D),Democrat
2012,Pennsylvania,Northeast,52.0%,46.6%,D+,1.53,Obama (D),Democrat
2016,Pennsylvania,Northeast,47.5%,48.2%,R+,-2.98,Trump (R),Republican
2020,Pennsylvania,Northeast,49.9%,48.7%,R+,-3.34,Biden (D),Republican
2024,Pennsylvania,Northeast,48.5%,50.2%,R+,-0.23,Trump (R),Republican
1976,Rhode Island,Northeast,55.4%,44.1%,D+,9.24,Carter (D),Democrat
1980,Rhode Island,Northeast,47.7%,37.2%,D+,22.94,Reagan (R),Democrat
1984,Rhode Island,Northeast,48.0%,51.7%,D+,14.68,Reagan (R),Democrat
1988,Rhode Island,Northeast,55.6%,43.9%,D+,19.56,Bush H.W. (R),Democrat
1992,Rhode Island,Northeast,47.0%,29.0%,D+,16.78,Clinton (D),Democrat
1996,Rhode Island,Northeast,59.7%,26.8%,D+,28.54,Clinton (D),Democrat
2000,Rhode Island,Northeast,61.0%,31.9%,D+,30.76,Bush W. (R),Democrat
2004,Rhode Island,Northeast,59.4%,38.7%,D+,23.64,Bush W. (R),Democrat
2008,Rhode Island,Northeast,62.9%,35.1%,D+,21.02,Obama (D),Democrat
2012,Rhode Island,Northeast,62.7%,35.2%,D+,24.10,Obama (D),Democrat
2016,Rhode Island,Northeast,54.4%,38.9%,D+,14.39,Trump (R),Democrat
2020,Rhode Island,Northeast,59.4%,38.6%,D+,16.66,Biden (D),Democrat
2024,Rhode Island,Northeast,55.5%,41.8%,D+,15.66,Trump (R),Democrat
1976,South Carolina,South,56.2%,43.1%,D+,11.03,Carter (D),Democrat
1980,South Carolina,South,48.0%,49.6%,D+,9.04,Reagan (R),Democrat
1984,South Carolina,South,35.6%,63.6%,R+,-9.90,Reagan (R),Republican
1988,South Carolina,South,37.6%,61.5%,R+,-16.34,Bush H.W. (R),Republican
1992,South Carolina,South,39.9%,48.0%,R+,-16.18,Clinton (D),Republican
1996,South Carolina,South,43.9%,49.9%,R+,-15.91,Clinton (D),Republican
2000,South Carolina,South,40.9%,56.8%,R+,-16.83,Bush W. (R),Republican
2004,South Carolina,South,40.9%,58.0%,R+,-14.78,Bush W. (R),Republican
2008,South Carolina,South,44.9%,53.9%,R+,-16.47,Obama (D),Republican
2012,South Carolina,South,44.1%,54.6%,R+,-14.55,Obama (D),Republican
2016,South Carolina,South,40.7%,54.9%,R+,-17.15,Trump (R),Republican
2020,South Carolina,South,43.4%,55.1%,R+,-16.39,Biden (D),Republican
2024,South Carolina,South,40.4%,58.2%,R+,-16.62,Trump (R),Republican
1976,South Dakota,Midwest,48.9%,50.4%,R+,-3.59,Carter (D),Republican
1980,South Dakota,Midwest,31.7%,60.5%,R+,-20.66,Reagan (R),Republican
1984,South Dakota,Midwest,36.5%,63.0%,R+,-8.26,Reagan (R),Republican
1988,South Dakota,Midwest,46.5%,52.8%,D+,1.42,Bush H.W. (R),Democrat
1992,South Dakota,Midwest,37.1%,40.7%,R+,-11.43,Clinton (D),Republican
1996,South Dakota,Midwest,43.0%,46.5%,R+,-13.34,Clinton (D),Republican
2000,South Dakota,Midwest,37.6%,60.3%,R+,-23.77,Bush W. (R),Republican
2004,South Dakota,Midwest,38.4%,59.9%,R+,-19.34,Bush W. (R),Republican
2008,South Dakota,Midwest,44.7%,53.2%,R+,-15.97,Obama (D),Republican
2012,South Dakota,Midwest,39.9%,57.9%,R+,-22.37,Obama (D),Republican
2016,South Dakota,Midwest,31.7%,61.5%,R+,-34.17,Trump (R),Republican
2020,South Dakota,Midwest,35.6%,61.8%,R+,-31.41,Biden (D),Republican
2024,South Dakota,Midwest,34.2%,63.4%,R+,-28.39,Trump (R),Republican
1976,Tennessee,South,55.9%,42.9%,D+,11.04,Carter (D),Democrat
1980,Tennessee,South,48.4%,48.7%,D+,10.31,Reagan (R),Democrat
1984,Tennessee,South,41.6%,57.8%,D+,1.98,Reagan (R),Democrat
1988,Tennessee,South,41.5%,57.9%,R+,-8.63,Bush H.W. (R),Republican
1992,Tennessee,South,47.1%,42.4%,R+,-1.71,Clinton (D),Republican
1996,Tennessee,South,48.0%,45.6%,R+,-6.90,Clinton (D),Republican
2000,Tennessee,South,47.3%,51.1%,R+,-4.47,Bush W. (R),Republican
2004,Tennessee,South,42.5%,56.8%,R+,-11.91,Bush W. (R),Republican
2008,Tennessee,South,41.8%,56.8%,R+,-22.64,Obama (D),Republican
2012,Tennessee,South,39.0%,59.4%,R+,-24.63,Obama (D),Republican
2016,Tennessee,South,34.7%,60.7%,R+,-29.48,Trump (R),Republican
2020,Tennessee,South,37.5%,60.7%,R+,-28.20,Biden (D),Republican
2024,Tennessee,South,34.4%,64.0%,R+,-28.62,Trump (R),Republican
1976,Texas,South,51.1%,48.0%,D+,1.09,Carter (D),Democrat
1980,Texas,South,41.4%,55.3%,R+,-3.72,Reagan (R),Republican
1984,Texas,South,36.1%,63.6%,R+,-9.23,Reagan (R),Republican
1988,Texas,South,43.3%,56.0%,R+,-4.89,Bush H.W. (R),Republican
1992,Texas,South,37.1%,40.6%,R+,-11.39,Clinton (D),Republican
1996,Texas,South,43.8%,48.8%,R+,-14.79,Clinton (D),Republican
2000,Texas,South,38.0%,59.3%,R+,-22.45,Bush W. (R),Republican
2004,Texas,South,38.2%,61.1%,R+,-20.53,Bush W. (R),Republican
2008,Texas,South,43.6%,55.4%,R+,-19.25,Obama (D),Republican
2012,Texas,South,41.4%,57.1%,R+,-19.94,Obama (D),Republican
2016,Texas,South,43.1%,52.1%,R+,-11.65,Trump (R),Republican
2020,Texas,South,46.5%,52.1%,R+,-10.20,Biden (D),Republican
2024,Texas,South,42.4%,56.0%,R+,-12.38,Trump (R),Republican
1976,Utah,West,33.6%,62.4%,R+,-32.06,Carter (D),Republican
1980,Utah,West,20.6%,72.8%,R+,-45.32,Reagan (R),Republican
1984,Utah,West,24.7%,74.5%,R+,-31.90,Reagan (R),Republican
1988,Utah,West,32.0%,66.2%,R+,-26.97,Bush H.W. (R),Republican
1992,Utah,West,24.7%,43.4%,R+,-34.42,Clinton (D),Republican
1996,Utah,West,33.3%,54.4%,R+,-33.51,Clinton (D),Republican
2000,Utah,West,26.3%,66.8%,R+,-43.99,Bush W. (R),Republican
2004,Utah,West,26.0%,71.5%,R+,-44.20,Bush W. (R),Republican
2008,Utah,West,34.2%,62.2%,R+,-36.43,Obama (D),Republican
2012,Utah,West,24.7%,72.5%,R+,-53.18,Obama (D),Republican
2016,Utah,West,27.2%,45.0%,R+,-26.99,Trump (R),Republican
2020,Utah,West,37.2%,57.5%,R+,-25.93,Biden (D),Republican
2024,Utah,West,37.2%,58.4%,R+,-20.71,Trump (R),Republican
1976,Vermont,Northeast,43.1%,54.3%,R+,-13.59,Carter (D),Republican
1980,Vermont,Northeast,38.4%,44.4%,D+,3.41,Reagan (R),Democrat
1984,Vermont,Northeast,40.8%,57.9%,D+,1.01,Reagan (R),Democrat
1988,Vermont,Northeast,47.6%,51.1%,D+,4.24,Bush H.W. (R),Democrat
1992,Vermont,Northeast,46.1%,30.4%,D+,13.60,Clinton (D),Democrat
1996,Vermont,Northeast,53.4%,31.1%,D+,16.90,Clinton (D),Democrat
2000,Vermont,Northeast,50.6%,40.7%,D+,10.34,Bush W. (R),Democrat
2004,Vermont,Northeast,58.9%,38.8%,D+,23.09,Bush W. (R),Democrat
2008,Vermont,Northeast,67.5%,30.4%,D+,30.42,Obama (D),Democrat
2012,Vermont,Northeast,66.6%,31.0%,D+,32.57,Obama (D),Democrat
2016,Vermont,Northeast,56.7%,30.3%,D+,28.15,Trump (R),Democrat
2020,Vermont,Northeast,66.1%,30.7%,D+,32.06,Biden (D),Democrat
2024,Vermont,Northeast,63.8%,32.3%,D+,34.27,Trump (R),Democrat
1976,Virginia,South,48.0%,49.3%,R+,-3.48,Carter (D),Republican
1980,Virginia,South,40.3%,53.0%,R+,-3.02,Reagan (R),Republican
1984,Virginia,South,37.1%,62.3%,R+,-7.01,Reagan (R),Republican
1988,Virginia,South,39.2%,59.7%,R+,-12.91,Bush H.W. (R),Republican
1992,Virginia,South,40.6%,45.0%,R+,-12.02,Clinton (D),Republican
1996,Virginia,South,45.1%,47.1%,R+,-11.59,Clinton (D),Republican
2000,Virginia,South,44.4%,52.5%,R+,-8.83,Bush W. (R),Republican
2004,Virginia,South,45.5%,53.7%,R+,-5.78,Bush W. (R),Republican
2008,Virginia,South,52.6%,46.3%,R+,-1.01,Obama (D),Republican
2012,Virginia,South,51.2%,47.3%,D+,0.01,Obama (D),Democrat
2016,Virginia,South,49.8%,44.4%,D+,3.43,Trump (R),Democrat
2020,Virginia,South,54.1%,44.0%,D+,5.77,Biden (D),Democrat
2024,Virginia,South,51.8%,46.1%,D+,7.40,Trump (R),Democrat
1976,Washington,West,46.1%,50.0%,R+,-6.15,Carter (D),Republican
1980,Washington,West,37.3%,49.7%,R+,-3.58,Reagan (R),Republican
1984,Washington,West,42.9%,55.8%,D+,5.20,Reagan (R),Democrat
1988,Washington,West,50.0%,48.5%,D+,9.42,Bush H.W. (R),Democrat
1992,Washington,West,43.4%,32.0%,D+,8.27,Clinton (D),Democrat
1996,Washington,West,49.8%,37.3%,D+,4.92,Clinton (D),Democrat
2000,Washington,West,50.1%,44.6%,D+,5.35,Bush W. (R),Democrat
2004,Washington,West,52.8%,45.6%,D+,9.78,Bush W. (R),Democrat
2008,Washington,West,57.3%,40.3%,D+,10.13,Obama (D),Democrat
2012,Washington,West,55.8%,41.0%,D+,11.33,Obama (D),Democrat
2016,Washington,West,52.5%,36.8%,D+,15.35,Trump (R),Democrat
2020,Washington,West,58.0%,38.8%,D+,15.31,Biden (D),Democrat
2024,Washington,West,57.2%,39.0%,D+,20.43,Trump (R),Democrat
1976,West Virginia,South,58.1%,41.9%,D+,14.03,Carter (D),Democrat
1980,West Virginia,South,49.8%,45.3%,D+,15.35,Reagan (R),Democrat
1984,West Virginia,South,44.6%,55.1%,D+,7.79,Reagan (R),Democrat
1988,West Virginia,South,52.2%,47.5%,D+,12.56,Bush H.W. (R),Democrat
1992,West Virginia,South,48.4%,35.4%,D+,8.63,Clinton (D),Democrat
1996,West Virginia,South,51.5%,36.8%,D+,7.24,Clinton (D),Democrat
2000,West Virginia,South,45.6%,51.9%,R+,-7.02,Bush W. (R),Republican
2004,West Virginia,South,43.2%,56.1%,R+,-10.47,Bush W. (R),Republican
2008,West Virginia,South,42.5%,55.6%,R+,-20.72,Obama (D),Republican
2012,West Virginia,South,35.5%,62.1%,R+,-31.28,Obama (D),Republican
2016,West Virginia,South,26.2%,67.8%,R+,-46.55,Trump (R),Republican
2020,West Virginia,South,29.7%,68.6%,R+,-44.14,Biden (D),Republican
2024,West Virginia,South,28.1%,69.9%,R+,-41.19,Trump (R),Republican
1976,Wisconsin,Midwest,49.5%,47.8%,R+,-0.38,Carter (D),Republican
1980,Wisconsin,Midwest,43.2%,47.9%,D+,5.43,Reagan (R),Democrat
1984,Wisconsin,Midwest,45.0%,54.2%,D+,9.09,Reagan (R),Democrat
1988,Wisconsin,Midwest,51.4%,47.8%,D+,11.45,Bush H.W. (R),Democrat
1992,Wisconsin,Midwest,41.1%,36.8%,R+,-1.32,Clinton (D),Republican
1996,Wisconsin,Midwest,48.8%,38.5%,D+,2.37,Clinton (D),Democrat
2000,Wisconsin,Midwest,47.8%,47.6%,R+,-0.31,Bush W. (R),Republican
2004,Wisconsin,Midwest,49.7%,49.3%,D+,2.87,Bush W. (R),Democrat
2008,Wisconsin,Midwest,56.2%,42.3%,D+,6.73,Obama (D),Democrat
2012,Wisconsin,Midwest,52.8%,45.9%,D+,3.10,Obama (D),Democrat
2016,Wisconsin,Midwest,46.5%,47.2%,R+,-3.04,Trump (R),Republican
2020,Wisconsin,Midwest,49.4%,48.8%,R+,-3.90,Biden (D),Republican
2024,Wisconsin,Midwest,48.7%,49.6%,D+,0.63,Trump (R),Democrat
1976,Wyoming,West,39.8%,59.3%,R+,-21.77,Carter (D),Republican
1980,Wyoming,West,28.0%,62.6%,R+,-27.65,Reagan (R),Republican
1984,Wyoming,West,28.2%,70.5%,R+,-24.46,Reagan (R),Republican
1988,Wyoming,West,38.0%,60.5%,R+,-15.05,Bush H.W. (R),Republican
1992,Wyoming,West,34.0%,39.5%,R+,-14.49,Clinton (D),Republican
1996,Wyoming,West,36.8%,49.8%,R+,-24.45,Clinton (D),Republican
2000,Wyoming,West,27.7%,67.8%,R+,-42.50,Bush W. (R),Republican
2004,Wyoming,West,29.1%,68.9%,R+,-38.14,Bush W. (R),Republican
2008,Wyoming,West,32.5%,64.8%,R+,-40.50,Obama (D),Republican
2012,Wyoming,West,27.8%,68.6%,R+,-46.25,Obama (D),Republican
2016,Wyoming,West,21.9%,68.2%,R+,-53.64,Trump (R),Republican
2020,Wyoming,West,26.6%,69.9%,R+,-49.50,Biden (D),Republican
2024,Wyoming,West,25.8%,71.6%,R+,-45.46,Trump (R),Republican
1976,Washington D.C.,Northeast,81.6%,16.5%,D+,64.25,Carter (D),Democrat
1980,Washington D.C.,Northeast,74.9%,13.4%,D+,80.24,Reagan (R),Democrat
1984,Washington D.C.,Northeast,85.4%,13.7%,D+,90.63,Reagan (R),Democrat
1988,Washington D.C.,Northeast,82.6%,14.3%,D+,78.29,Bush H.W. (R),Democrat
1992,Washington D.C.,Northeast,84.6%,9.1%,D+,73.68,Clinton (D),Democrat
1996,Washington D.C.,Northeast,85.2%,9.3%,D+,70.78,Clinton (D),Democrat
2000,Washington D.C.,Northeast,85.2%,9.0%,D+,80.44,Bush W. (R),Democrat
2004,Washington D.C.,Northeast,89.2%,9.3%,D+,83.53,Bush W. (R),Democrat
2008,Washington D.C.,Northeast,92.5%,6.5%,D+,79.42,Obama (D),Democrat
2012,Washington D.C.,Northeast,90.9%,7.3%,D+,81.25,Obama (D),Democrat
2016,Washington D.C.,Northeast,90.9%,4.1%,D+,89.16,Trump (R),Democrat
2020,Washington D.C.,Northeast,92.1%,5.4%,D+,84.39,Biden (D),Democrat
2024,Washington D.C.,Northeast,90.3%,6.5%,D+,88.13,Trump (R),Democrat
