Year,State,Region,Democratic %,Republican %,P.S.,P.S. Score,National Winner
1980,Virginia,S,40.3,53.0,R+,-3.02,Reagan
1980,Washington,W,37.3,49.7,R+,-3.58,Reagan
1980,Washington D.C.,N,74.9,13.4,D+,80.24,Reagan
1980,West,W,34.4,54.0,R+,-11.51,Reagan
1980,West Virginia,S,49.8,45.3,D+,15.35,Reagan
1980,Wisconsin,M,43.2,47.9,D+,5.43,Reagan
1980,Wyoming,W,28.0,62.6,R+,-27.65,Reagan
1984,Alabama,S,38.3,60.5,R+,-4.19,Reagan
1984,Alaska,W,29.9,66.7,R+,-19.77,Reagan
1984,Arizona,W,32.5,66.4,R+,-15.89,Reagan
1984,Arkansas,S,38.3,60.5,R+,-4.12,Reagan
1984,California,W,41.3,57.5,D+,1.89,Reagan
1984,Colorado,W,35.1,63.4,R+,-10.39,Reagan
1984,Connecticut,N,38.8,60.7,R+,-3.66,Reagan
1984,Delaware,N,39.9,59.8,R+,-1.57,Reagan
1984,Florida,S,34.7,65.3,R+,-12.33,Reagan
1984,Georgia,S,39.8,60.2,R+,-2.06,Reagan
1984,Hawaii,W,43.8,55.1,D+,6.93,Reagan
1984,Idaho,W,26.4,72.4,R+,-28.21,Reagan
1984,Illinois,M,43.3,56.2,D+,5.39,Reagan
1984,Indiana,M,37.7,61.7,R+,-5.81,Reagan
1984,Iowa,M,45.9,53.3,D+,10.89,Reagan
1984,Kansas,M,32.6,66.3,R+,-15.72,Reagan
1984,Kentucky,S,39.4,60.0,R+,-2.45,Reagan
1984,Louisiana,S,38.2,60.8,R+,-4.50,Reagan
1984,Maine,N,38.8,60.8,R+,-3.80,Reagan
1984,Maryland,N,47.0,52.5,D+,12.82,Reagan
1984,Massachusetts,N,48.4,51.2,D+,15.54,Reagan
1984,Michigan,M,40.2,59.2,R+,-0.75,Reagan
1984,Midwest,M,41.3,58.0,D+,1.52,Reagan
1984,Minnesota,M,49.7,49.5,D+,18.52,Reagan
1984,Mississippi,S,37.5,61.8,R+,-6.22,Reagan
1984,Missouri,M,40.0,60.0,R+,-1.71,Reagan
1984,Montana,W,38.2,60.5,R+,-4.26,Reagan
1984,Nebraska,M,28.8,70.6,R+,-23.67,Reagan
1984,Nevada,W,32.0,65.8,R+,-16.29,Reagan
1984,New Hampshire,N,31.0,68.7,R+,-19.51,Reagan
1984,New Jersey,N,39.2,60.1,R+,-2.70,Reagan
1984,New Mexico,W,39.2,59.7,R+,-2.36,Reagan
1984,New York,N,45.8,53.8,D+,10.30,Reagan
