,Year,State,Region,Democratic %,Republican %,P.S.,P.S. Score,National Winner,State Winner,ElectionYear_Unemployment,Change_Since_Last_Election
315,1988,Missouri,Midwest,47.9,51.8,D+,3.81,Bush H.W. (R),Democrat,5.8,-1.0
316,1992,Missouri,Midwest,44.1,33.9,D+,6.1,Clinton (D),Democrat,6.0,0.20000000000000018
317,1996,Missouri,Midwest,47.5,41.2,R+,-2.38,Clinton (D),Republican,4.8,-1.2000000000000002
318,2000,Missouri,Midwest,47.1,50.4,R+,-3.96,Bush W. (R),Republican,3.9,-0.8999999999999999
319,2004,Missouri,Midwest,46.1,53.3,R+,-4.75,Bush W. (R),Republican,6.0,2.1
320,2008,Missouri,Midwest,49.2,49.4,R+,-7.51,Obama (D),Republican,7.2,1.2000000000000002
321,2012,Missouri,Midwest,44.3,53.6,R+,-13.49,Obama (D),Republican,7.0,-0.20000000000000018
322,2016,Missouri,Midwest,37.9,56.4,R+,-21.86,Trump (R),Republican,4.5,-2.5
323,2020,Missouri,Midwest,41.4,56.8,R+,-20.21,Biden (D),Republican,5.1,0.5999999999999996
324,2024,Missouri,Midwest,40.0,58.3,R+,-17.17,Trump (R),Republican,3.6,-1.4999999999999996
325,1976,Montana,West,45.4,52.8,R+,-9.67,Carter (D),Republican,6.0,
326,1980,Montana,West,32.4,56.8,R+,-16.72,Reagan (R),Republican,6.6,0.5999999999999996
327,1984,Montana,West,38.2,60.5,R+,-4.26,Reagan (R),Republican,7.4,0.8000000000000007
328,1988,Montana,West,46.2,52.1,D+,1.83,Bush H.W. (R),Democrat,6.2,-1.2000000000000002
329,1992,Montana,West,37.6,35.1,R+,-3.46,Clinton (D),Republican,6.5,0.2999999999999998
330,1996,Montana,West,41.2,44.1,R+,-12.85,Clinton (D),Republican,5.4,-1.0999999999999996
331,2000,Montana,West,33.4,58.4,R+,-27.85,Bush W. (R),Republican,4.7,-0.7000000000000002
332,2004,Montana,West,38.6,59.1,R+,-18.51,Bush W. (R),Republican,4.4,-0.2999999999999998
333,2008,Montana,West,47.1,49.5,R+,-9.84,Obama (D),Republican,5.8,1.3999999999999995
334,2012,Montana,West,41.7,55.3,R+,-18.0,Obama (D),Republican,5.5,-0.2999999999999998
335,2016,Montana,West,35.4,55.6,R+,-24.45,Trump (R),Republican,4.2,-1.2999999999999998
336,2020,Montana,West,40.5,56.9,R+,-21.33,Biden (D),Republican,4.3,0.09999999999999964
337,2024,Montana,West,38.4,58.3,R+,-19.08,Trump (R),Republican,2.9,-1.4
338,1976,Nebraska,Midwest,38.5,59.2,R+,-23.34,Carter (D),Republican,3.2,
339,1980,Nebraska,Midwest,26.0,65.5,R+,-32.52,Reagan (R),Republican,4.1,0.8999999999999995
340,1984,Nebraska,Midwest,28.8,70.6,R+,-23.67,Reagan (R),Republican,4.4,0.3000000000000007
341,1988,Nebraska,Midwest,39.2,60.2,R+,-13.29,Bush H.W. (R),Republican,3.2,-1.2000000000000002
342,1992,Nebraska,Midwest,29.4,46.6,R+,-29.52,Clinton (D),Republican,2.8,-0.40000000000000036
343,1996,Nebraska,Midwest,35.0,53.7,R+,-30.58,Clinton (D),Republican,2.6,-0.19999999999999973
344,2000,Nebraska,Midwest,33.3,62.2,R+,-30.9,Bush W. (R),Republican,2.9,0.2999999999999998
345,2004,Nebraska,Midwest,32.7,65.9,R+,-31.21,Bush W. (R),Republican,3.9,1.0
346,2008,Nebraska,Midwest,41.6,56.5,R+,-22.59,Obama (D),Republican,3.7,-0.19999999999999973
347,2012,Nebraska,Midwest,38.0,59.8,R+,-26.19,Obama (D),Republican,3.9,0.19999999999999973
348,2016,Nebraska,Midwest,33.7,58.7,R+,-29.32,Trump (R),Republican,3.2,-0.6999999999999997
349,2020,Nebraska,Midwest,39.2,58.2,R+,-24.11,Biden (D),Republican,3.0,-0.20000000000000018
350,2024,Nebraska,Midwest,38.9,59.3,R+,-19.34,Trump (R),Republican,2.9,-0.10000000000000009
351,1976,Nevada,West,45.8,50.2,R+,-6.64,Carter (D),Republican,8.7,
352,1980,Nevada,West,26.9,62.5,R+,-29.24,Reagan (R),Republican,7.1,-1.5999999999999996
353,1984,Nevada,West,32.0,65.8,R+,-16.29,Reagan (R),Republican,7.7,0.6000000000000005
354,1988,Nevada,West,37.9,58.9,R+,-13.83,Bush H.W. (R),Republican,4.9,-2.8
355,1992,Nevada,West,37.4,34.7,R+,-3.26,Clinton (D),Republican,6.9,2.0
356,1996,Nevada,West,43.9,42.9,R+,-8.3,Clinton (D),Republican,4.9,-2.0
357,2000,Nevada,West,46.0,49.5,R+,-4.25,Bush W. (R),Republican,4.4,-0.5
358,2004,Nevada,West,47.9,50.5,R+,-0.15,Bush W. (R),Republican,4.3,-0.10000000000000053
359,2008,Nevada,West,55.1,42.7,D+,5.4,Obama (D),Democrat,8.4,4.1000000000000005
360,2012,Nevada,West,52.4,45.7,D+,2.89,Obama (D),Democrat,10.9,2.5
361,2016,Nevada,West,47.9,45.5,D+,0.36,Trump (R),Democrat,5.5,-5.4
362,2020,Nevada,West,50.1,47.7,R+,-2.09,Biden (D),Republican,10.2,4.699999999999999
363,2024,Nevada,West,47.5,50.6,R+,-1.66,Trump (R),Republican,5.8,-4.3999999999999995
364,1976,New Hampshire,Northeast,43.5,54.7,R+,-13.59,Carter (D),Republican,6.3,
365,1980,New Hampshire,Northeast,28.4,57.7,R+,-23.52,Reagan (R),Republican,4.8,-1.5
366,1984,New Hampshire,Northeast,31.0,68.7,R+,-19.51,Reagan (R),Republican,4.3,-0.5
367,1988,New Hampshire,Northeast,36.3,62.5,R+,-18.66,Bush H.W. (R),Republican,2.5,-1.7999999999999998
368,1992,New Hampshire,Northeast,38.9,37.6,R+,-5.32,Clinton (D),Republican,7.4,4.9
369,1996,New Hampshire,Northeast,49.3,39.4,D+,1.75,Clinton (D),Democrat,3.7,-3.7
370,2000,New Hampshire,Northeast,46.8,48.1,R+,-1.88,Bush W. (R),Republican,2.5,-1.2000000000000002
371,2004,New Hampshire,Northeast,50.2,48.9,D+,3.87,Bush W. (R),Democrat,3.5,1.0
372,2008,New Hampshire,Northeast,54.1,44.5,D+,2.36,Obama (D),Democrat,4.3,0.7999999999999998
373,2012,New Hampshire,Northeast,52.0,46.4,D+,1.74,Obama (D),Democrat,5.6,1.2999999999999998
374,2016,New Hampshire,Northeast,46.8,46.5,R+,-1.83,Trump (R),Republican,2.9,-2.6999999999999997
375,2020,New Hampshire,Northeast,52.7,45.4,D+,2.96,Biden (D),Democrat,4.9,2.0000000000000004
376,2024,New Hampshire,Northeast,50.6,47.9,D+,4.32,Trump (R),Democrat,2.8,-2.1000000000000005
377,1976,New Jersey,Northeast,47.9,50.1,R+,-4.31,Carter (D),Republican,10.6,
378,1980,New Jersey,Northeast,38.6,52.0,R+,-4.21,Reagan (R),Republican,7.4,-3.1999999999999993
379,1984,New Jersey,Northeast,39.2,60.1,R+,-2.7,Reagan (R),Republican,5.9,-1.5
380,1988,New Jersey,Northeast,42.6,56.2,R+,-6.0,Bush H.W. (R),Republican,3.8,-2.1000000000000005
381,1992,New Jersey,Northeast,43.0,40.6,R+,-4.07,Clinton (D),Republican,8.7,4.8999999999999995
382,1996,New Jersey,Northeast,53.7,35.9,D+,10.46,Clinton (D),Democrat,5.9,-2.799999999999999
383,2000,New Jersey,Northeast,56.1,40.3,D+,15.88,Bush W. (R),Democrat,3.8,-2.1000000000000005
384,2004,New Jersey,Northeast,52.9,46.2,D+,9.23,Bush W. (R),Democrat,4.5,0.7000000000000002
385,2008,New Jersey,Northeast,57.1,41.6,D+,8.35,Obama (D),Democrat,6.4,1.9000000000000004
386,2012,New Jersey,Northeast,58.2,40.5,D+,14.04,Obama (D),Democrat,9.4,3.0
387,2016,New Jersey,Northeast,55.0,41.0,D+,12.34,Trump (R),Democrat,4.8,-4.6000000000000005
388,2020,New Jersey,Northeast,57.1,41.3,D+,11.6,Biden (D),Democrat,7.2,2.4000000000000004
389,2024,New Jersey,Northeast,51.8,45.9,D+,7.53,Trump (R),Democrat,4.6,-2.6000000000000005
390,1976,New Mexico,West,48.3,50.7,R+,-4.59,Carter (D),Republican,9.0,
391,1980,New Mexico,West,36.8,55.0,R+,-9.21,Reagan (R),Republican,8.0,-1.0
392,1984,New Mexico,West,39.2,59.7,R+,-2.36,Reagan (R),Republican,7.9,-0.09999999999999964
393,1988,New Mexico,West,46.9,51.9,D+,2.78,Bush H.W. (R),Democrat,6.9,-1.0
394,1992,New Mexico,West,45.9,37.3,D+,3.37,Clinton (D),Democrat,7.2,0.2999999999999998
395,1996,New Mexico,West,49.2,41.9,R+,-1.42,Clinton (D),Republican,7.3,0.09999999999999964
396,2000,New Mexico,West,47.9,47.8,R+,-0.48,Bush W. (R),Republican,5.0,-2.3
397,2004,New Mexico,West,49.0,49.8,D+,1.69,Bush W. (R),Democrat,5.5,0.5
398,2008,New Mexico,West,56.9,41.8,D+,7.95,Obama (D),Democrat,5.2,-0.2999999999999998
399,2012,New Mexico,West,53.0,42.8,D+,6.66,Obama (D),Democrat,6.9,1.7000000000000002
400,2016,New Mexico,West,48.3,40.0,D+,7.08,Trump (R),Democrat,7.0,0.09999999999999964
401,2020,New Mexico,West,54.3,43.5,D+,6.5,Biden (D),Democrat,8.4,1.4000000000000004
402,2024,New Mexico,West,51.9,45.9,D+,7.64,Trump (R),Democrat,4.4,-4.0
403,1976,New York,Northeast,51.9,47.5,D+,2.34,Carter (D),Democrat,10.2,
404,1980,New York,Northeast,44.0,46.7,D+,7.67,Reagan (R),Democrat,7.5,-2.6999999999999993
405,1984,New York,Northeast,45.8,53.8,D+,10.3,Reagan (R),Democrat,7.0,-0.5
406,1988,New York,Northeast,51.6,47.5,D+,11.94,Bush H.W. (R),Democrat,4.5,-2.5
407,1992,New York,Northeast,49.7,33.9,D+,12.05,Clinton (D),Democrat,8.7,4.199999999999999
408,1996,New York,Northeast,59.5,30.6,D+,22.56,Clinton (D),Democrat,6.3,-2.3999999999999995
409,2000,New York,Northeast,60.2,35.2,D+,25.66,Bush W. (R),Democrat,4.3,-2.0
410,2004,New York,Northeast,58.4,40.1,D+,21.06,Bush W. (R),Democrat,5.3,1.0
411,2008,New York,Northeast,62.9,36.0,D+,19.78,Obama (D),Democrat,6.3,1.0
412,2012,New York,Northeast,63.3,35.2,D+,24.67,Obama (D),Democrat,8.4,2.1000000000000005
413,2016,New York,Northeast,59.0,36.5,D+,21.32,Trump (R),Democrat,4.9,-3.5
414,2020,New York,Northeast,60.9,37.8,D+,18.91,Biden (D),Democrat,8.9,4.0
415,2024,New York,Northeast,55.6,43.1,D+,14.18,Trump (R),Democrat,4.4,-4.5
416,1976,North Carolina,South,55.3,44.2,D+,9.0,Carter (D),Democrat,6.2,
417,1980,North Carolina,South,47.2,49.3,D+,8.41,Reagan (R),Democrat,6.6,0.39999999999999947
418,1984,North Carolina,South,37.9,61.9,R+,-5.72,Reagan (R),Republican,6.5,-0.09999999999999964
419,1988,North Carolina,South,41.7,58.0,R+,-8.51,Bush H.W. (R),Republican,3.6,-2.9
420,1992,North Carolina,South,42.7,43.4,R+,-7.83,Clinton (D),Republican,6.0,2.4
421,1996,North Carolina,South,44.0,48.7,R+,-14.53,Clinton (D),Republican,4.1,-1.9000000000000004
422,2000,North Carolina,South,43.2,56.0,R+,-13.47,Bush W. (R),Republican,4.1,0.0
423,2004,North Carolina,South,43.6,56.0,R+,-10.0,Bush W. (R),Republican,5.3,1.2000000000000002
424,2008,North Carolina,South,49.7,49.4,R+,-7.04,Obama (D),Republican,8.3,3.000000000000001
425,2012,North Carolina,South,48.4,50.4,R+,-6.0,Obama (D),Republican,9.5,1.1999999999999993
426,2016,North Carolina,South,46.2,49.8,R+,-6.03,Trump (R),Republican,5.1,-4.4
427,2020,North Carolina,South,48.6,49.9,R+,-5.91,Biden (D),Republican,5.9,0.8000000000000007
428,2024,North Carolina,South,47.6,50.9,R+,-1.76,Trump (R),Republican,3.7,-2.2
429,1976,North Dakota,Midwest,45.8,51.7,R+,-8.11,Carter (D),Republican,4.1,
430,1980,North Dakota,Midwest,26.3,64.2,R+,-31.35,Reagan (R),Republican,5.1,1.0
431,1984,North Dakota,Midwest,33.8,64.8,R+,-13.13,Reagan (R),Republican,5.4,0.3000000000000007
432,1988,North Dakota,Midwest,43.0,56.0,R+,-5.39,Bush H.W. (R),Republican,4.6,-0.8000000000000007
433,1992,North Dakota,Midwest,32.2,44.2,R+,-22.66,Clinton (D),Republican,4.5,-0.09999999999999964
434,1996,North Dakota,Midwest,40.1,46.9,R+,-17.29,Clinton (D),Republican,3.1,-1.4
435,2000,North Dakota,Midwest,33.1,60.7,R+,-29.99,Bush W. (R),Republican,2.9,-0.20000000000000018
436,2004,North Dakota,Midwest,35.5,62.9,R+,-25.33,Bush W. (R),Republican,3.4,0.5
437,2008,North Dakota,Midwest,44.5,53.2,R+,-16.23,Obama (D),Republican,3.4,0.0
438,2012,North Dakota,Midwest,38.7,58.3,R+,-24.16,Obama (D),Republican,3.0,-0.3999999999999999
439,2016,North Dakota,Midwest,27.2,63.0,R+,-41.84,Trump (R),Republican,2.9,-0.10000000000000009
440,2020,North Dakota,Midwest,31.8,65.1,R+,-38.97,Biden (D),Republican,4.5,1.6
441,2024,North Dakota,Midwest,30.5,67.0,R+,-35.89,Trump (R),Republican,2.5,-2.0
442,1976,Ohio,Midwest,48.9,48.7,R+,-1.83,Carter (D),Republican,7.6,
443,1980,Ohio,Midwest,40.9,51.5,R+,-0.86,Reagan (R),Republican,9.1,1.5
444,1984,Ohio,Midwest,40.1,58.9,R+,-0.6,Reagan (R),Republican,9.1,0.0
445,1988,Ohio,Midwest,44.1,55.0,R+,-3.15,Bush H.W. (R),Republican,5.7,-3.3999999999999995
446,1992,Ohio,Midwest,40.2,38.3,R+,-4.57,Clinton (D),Republican,7.3,1.5999999999999996
447,1996,Ohio,Midwest,47.4,41.0,R+,-2.28,Clinton (D),Republican,5.0,-2.3
448,2000,Ohio,Midwest,46.5,50.0,R+,-4.18,Bush W. (R),Republican,3.9,-1.1
449,2004,Ohio,Midwest,48.7,50.8,D+,0.37,Bush W. (R),Democrat,6.3,2.4
450,2008,Ohio,Midwest,51.4,46.8,R+,-2.71,Obama (D),Republican,7.7,1.4000000000000004
451,2012,Ohio,Midwest,50.6,47.6,R+,-0.9,Obama (D),Republican,7.3,-0.40000000000000036
452,2016,Ohio,Midwest,43.2,51.3,R+,-10.76,Trump (R),Republican,5.2,-2.0999999999999996
453,2020,Ohio,Midwest,45.2,53.2,R+,-12.69,Biden (D),Republican,6.4,1.2000000000000002
454,2024,Ohio,Midwest,43.7,54.8,R+,-9.81,Trump (R),Republican,4.5,-1.9000000000000004
455,1976,Oklahoma,South,48.7,50.0,R+,-3.34,Carter (D),Republican,5.3,
456,1980,Oklahoma,South,35.0,60.5,R+,-16.13,Reagan (R),Republican,4.4,-0.8999999999999995
457,1984,Oklahoma,South,30.7,68.6,R+,-19.88,Reagan (R),Republican,6.9,2.5
458,1988,Oklahoma,South,41.3,57.9,R+,-8.98,Bush H.W. (R),Republican,6.3,-0.6000000000000005
459,1992,Oklahoma,South,34.0,42.6,R+,-18.15,Clinton (D),Republican,5.5,-0.7999999999999998
460,1996,Oklahoma,South,40.4,48.3,R+,-18.27,Clinton (D),Republican,4.0,-1.5
461,2000,Oklahoma,South,38.4,60.3,R+,-22.7,Bush W. (R),Republican,2.9,-1.1
462,2004,Oklahoma,South,34.4,65.6,R+,-28.65,Bush W. (R),Republican,4.5,1.6
463,2008,Oklahoma,South,34.4,65.6,R+,-38.67,Obama (D),Republican,4.2,-0.2999999999999998
464,2012,Oklahoma,South,33.2,66.8,R+,-37.47,Obama (D),Republican,5.1,0.8999999999999995
465,2016,Oklahoma,South,28.9,65.3,R+,-40.84,Trump (R),Republican,4.6,-0.5
466,2020,Oklahoma,South,32.3,65.4,R+,-38.42,Biden (D),Republican,5.3,0.7000000000000002
467,2024,Oklahoma,South,31.9,66.2,R+,-33.44,Trump (R),Republican,3.3,-2.0
468,1976,Oregon,West,47.6,47.8,R+,-2.28,Carter (D),Republican,9.3,
469,1980,Oregon,West,38.7,48.3,R+,-0.49,Reagan (R),Republican,8.9,-0.40000000000000036
470,1984,Oregon,West,43.7,55.9,D+,6.13,Reagan (R),Democrat,9.2,0.29999999999999893
471,1988,Oregon,West,51.3,46.6,D+,12.57,Bush H.W. (R),Democrat,5.4,-3.799999999999999
472,1992,Oregon,West,42.5,32.5,D+,6.36,Clinton (D),Democrat,7.2,1.7999999999999998
473,1996,Oregon,West,47.2,39.1,R+,-0.08,Clinton (D),Republican,5.8,-1.4000000000000004
474,2000,Oregon,West,47.0,46.5,R+,-0.07,Bush W. (R),Republican,5.2,-0.5999999999999996
475,2004,Oregon,West,51.3,47.2,D+,6.71,Bush W. (R),Democrat,6.9,1.7000000000000002
476,2008,Oregon,West,56.7,40.4,D+,9.45,Obama (D),Democrat,8.2,1.299999999999999
477,2012,Oregon,West,54.2,42.1,D+,8.61,Obama (D),Democrat,8.5,0.3000000000000007
478,2016,Oregon,West,50.1,39.1,D+,10.09,Trump (R),Democrat,4.4,-4.1
479,2020,Oregon,West,56.5,40.4,D+,12.07,Biden (D),Democrat,6.6,2.1999999999999993
480,2024,Oregon,West,55.3,41.0,D+,16.37,Trump (R),Democrat,4.3,-2.3
481,1976,Pennsylvania,Northeast,50.4,47.7,D+,0.61,Carter (D),Democrat,8.0,
482,1980,Pennsylvania,Northeast,42.5,49.6,D+,2.89,Reagan (R),Democrat,8.2,0.1999999999999993
483,1984,Pennsylvania,Northeast,46.0,53.3,D+,10.94,Reagan (R),Democrat,8.5,0.3000000000000007
484,1988,Pennsylvania,Northeast,48.4,50.7,D+,5.46,Bush H.W. (R),Democrat,5.0,-3.5
485,1992,Pennsylvania,Northeast,45.1,36.1,D+,4.19,Clinton (D),Democrat,7.2,2.2
486,1996,Pennsylvania,Northeast,49.2,40.0,D+,0.85,Clinton (D),Democrat,5.3,-1.9000000000000004
487,2000,Pennsylvania,Northeast,50.6,46.4,D+,3.76,Bush W. (R),Democrat,4.3,-1.0
488,2004,Pennsylvania,Northeast,50.9,48.4,D+,5.0,Bush W. (R),Democrat,5.2,0.9000000000000004
489,2008,Pennsylvania,Northeast,54.5,44.2,D+,3.08,Obama (D),Democrat,6.2,1.0
490,2012,Pennsylvania,Northeast,52.0,46.6,D+,1.53,Obama (D),Democrat,7.6,1.3999999999999995
491,2016,Pennsylvania,Northeast,47.5,48.2,R+,-2.98,Trump (R),Republican,5.3,-2.3
492,2020,Pennsylvania,Northeast,49.9,48.7,R+,-3.34,Biden (D),Republican,7.8,2.5
493,2024,Pennsylvania,Northeast,48.5,50.2,R+,-0.23,Trump (R),Republican,3.7,-4.1
494,1976,Rhode Island,Northeast,55.4,44.1,D+,9.24,Carter (D),Democrat,8.6,
495,1980,Rhode Island,Northeast,47.7,37.2,D+,22.94,Reagan (R),Democrat,7.3,-1.2999999999999998
496,1984,Rhode Island,Northeast,48.0,51.7,D+,14.68,Reagan (R),Democrat,4.7,-2.5999999999999996
497,1988,Rhode Island,Northeast,55.6,43.9,D+,19.56,Bush H.W. (R),Democrat,3.1,-1.6
498,1992,Rhode Island,Northeast,47.0,29.0,D+,16.78,Clinton (D),Democrat,8.6,5.5
499,1996,Rhode Island,Northeast,59.7,26.8,D+,28.54,Clinton (D),Democrat,5.3,-3.3
500,2000,Rhode Island,Northeast,61.0,31.9,D+,30.76,Bush W. (R),Democrat,3.9,-1.4
501,2004,Rhode Island,Northeast,59.4,38.7,D+,23.64,Bush W. (R),Democrat,4.8,0.8999999999999999
502,2008,Rhode Island,Northeast,62.9,35.1,D+,21.02,Obama (D),Democrat,9.1,4.3
503,2012,Rhode Island,Northeast,62.7,35.2,D+,24.1,Obama (D),Democrat,9.7,0.5999999999999996
504,2016,Rhode Island,Northeast,54.4,38.9,D+,14.39,Trump (R),Democrat,4.9,-4.799999999999999
505,2020,Rhode Island,Northeast,59.4,38.6,D+,16.66,Biden (D),Democrat,7.0,2.0999999999999996
506,2024,Rhode Island,Northeast,55.5,41.8,D+,15.66,Trump (R),Democrat,4.5,-2.5
507,1976,South Carolina,South,56.2,43.1,D+,11.03,Carter (D),Democrat,6.9,
508,1980,South Carolina,South,48.0,49.6,D+,9.04,Reagan (R),Democrat,7.2,0.2999999999999998
509,1984,South Carolina,South,35.6,63.6,R+,-9.9,Reagan (R),Republican,6.7,-0.5
510,1988,South Carolina,South,37.6,61.5,R+,-16.34,Bush H.W. (R),Republican,4.3,-2.4000000000000004
511,1992,South Carolina,South,39.9,48.0,R+,-16.18,Clinton (D),Republican,6.9,2.6000000000000005
512,1996,South Carolina,South,43.9,49.9,R+,-15.91,Clinton (D),Republican,5.7,-1.2000000000000002
513,2000,South Carolina,South,40.9,56.8,R+,-16.83,Bush W. (R),Republican,3.6,-2.1
514,2004,South Carolina,South,40.9,58.0,R+,-14.78,Bush W. (R),Republican,6.9,3.3000000000000003
515,2008,South Carolina,South,44.9,53.9,R+,-16.47,Obama (D),Republican,8.5,1.5999999999999996
516,2012,South Carolina,South,44.1,54.6,R+,-14.55,Obama (D),Republican,8.5,0.0
517,2016,South Carolina,South,40.7,54.9,R+,-17.15,Trump (R),Republican,4.5,-4.0
518,2020,South Carolina,South,43.4,55.1,R+,-16.39,Biden (D),Republican,5.1,0.5999999999999996
519,2024,South Carolina,South,40.4,58.2,R+,-16.62,Trump (R),Republican,4.4,-0.6999999999999993
520,1976,South Dakota,Midwest,48.9,50.4,R+,-3.59,Carter (D),Republican,3.6,
521,1980,South Dakota,Midwest,31.7,60.5,R+,-20.66,Reagan (R),Republican,5.1,1.4999999999999996
522,1984,South Dakota,Midwest,36.5,63.0,R+,-8.26,Reagan (R),Republican,4.5,-0.5999999999999996
523,1988,South Dakota,Midwest,46.5,52.8,D+,1.42,Bush H.W. (R),Democrat,4.0,-0.5
524,1992,South Dakota,Midwest,37.1,40.7,R+,-11.43,Clinton (D),Republican,3.5,-0.5
525,1996,South Dakota,Midwest,43.0,46.5,R+,-13.34,Clinton (D),Republican,3.2,-0.2999999999999998
526,2000,South Dakota,Midwest,37.6,60.3,R+,-23.77,Bush W. (R),Republican,2.7,-0.5
527,2004,South Dakota,Midwest,38.4,59.9,R+,-19.34,Bush W. (R),Republican,3.7,1.0
528,2008,South Dakota,Midwest,44.7,53.2,R+,-15.97,Obama (D),Republican,3.7,0.0
529,2012,South Dakota,Midwest,39.9,57.9,R+,-22.37,Obama (D),Republican,3.9,0.19999999999999973
530,2016,South Dakota,Midwest,31.7,61.5,R+,-34.17,Trump (R),Republican,3.2,-0.6999999999999997
531,2020,South Dakota,Midwest,35.6,61.8,R+,-31.41,Biden (D),Republican,3.1,-0.10000000000000009
532,2024,South Dakota,Midwest,34.2,63.4,R+,-28.39,Trump (R),Republican,1.9,-1.2000000000000002
533,1976,Tennessee,South,55.9,42.9,D+,11.04,Carter (D),Democrat,6.4,
534,1980,Tennessee,South,48.4,48.7,D+,10.31,Reagan (R),Democrat,8.0,1.5999999999999996
535,1984,Tennessee,South,41.6,57.8,D+,1.98,Reagan (R),Democrat,8.2,0.1999999999999993
536,1988,Tennessee,South,41.5,57.9,R+,-8.63,Bush H.W. (R),Republican,5.7,-2.499999999999999
537,1992,Tennessee,South,47.1,42.4,R+,-1.71,Clinton (D),Republican,6.2,0.5
538,1996,Tennessee,South,48.0,45.6,R+,-6.9,Clinton (D),Republican,5.4,-0.7999999999999998
539,2000,Tennessee,South,47.3,51.1,R+,-4.47,Bush W. (R),Republican,3.9,-1.5000000000000004
540,2004,Tennessee,South,42.5,56.8,R+,-11.91,Bush W. (R),Republican,5.6,1.6999999999999997
541,2008,Tennessee,South,41.8,56.8,R+,-22.64,Obama (D),Republican,7.9,2.3000000000000007
542,2012,Tennessee,South,39.0,59.4,R+,-24.63,Obama (D),Republican,7.8,-0.10000000000000053
543,2016,Tennessee,South,34.7,60.7,R+,-29.48,Trump (R),Republican,4.8,-3.0
544,2020,Tennessee,South,37.5,60.7,R+,-28.2,Biden (D),Republican,5.9,1.1000000000000005
545,2024,Tennessee,South,34.4,64.0,R+,-28.62,Trump (R),Republican,3.7,-2.2
546,1976,Texas,South,51.1,48.0,D+,1.09,Carter (D),Democrat,5.7,
547,1980,Texas,South,41.4,55.3,R+,-3.72,Reagan (R),Republican,5.3,-0.40000000000000036
548,1984,Texas,South,36.1,63.6,R+,-9.23,Reagan (R),Republican,6.2,0.9000000000000004
549,1988,Texas,South,43.3,56.0,R+,-4.89,Bush H.W. (R),Republican,7.1,0.8999999999999995
550,1992,Texas,South,37.1,40.6,R+,-11.39,Clinton (D),Republican,7.7,0.6000000000000005
551,1996,Texas,South,43.8,48.8,R+,-14.79,Clinton (D),Republican,5.6,-2.1000000000000005
552,2000,Texas,South,38.0,59.3,R+,-22.45,Bush W. (R),Republican,4.1,-1.5
553,2004,Texas,South,38.2,61.1,R+,-20.53,Bush W. (R),Republican,5.9,1.8000000000000007
554,2008,Texas,South,43.6,55.4,R+,-19.25,Obama (D),Republican,5.6,-0.3000000000000007
555,2012,Texas,South,41.4,57.1,R+,-19.94,Obama (D),Republican,6.5,0.9000000000000004
556,2016,Texas,South,43.1,52.1,R+,-11.65,Trump (R),Republican,4.8,-1.7000000000000002
557,2020,Texas,South,46.5,52.1,R+,-10.2,Biden (D),Republican,7.0,2.2
558,2024,Texas,South,42.4,56.0,R+,-12.38,Trump (R),Republican,4.2,-2.8
559,1976,Utah,West,33.6,62.4,R+,-32.06,Carter (D),Republican,5.4,
560,1980,Utah,West,20.6,72.8,R+,-45.32,Reagan (R),Republican,6.8,1.3999999999999995
561,1984,Utah,West,24.7,74.5,R+,-31.9,Reagan (R),Republican,6.4,-0.39999999999999947
562,1988,Utah,West,32.0,66.2,R+,-26.97,Bush H.W. (R),Republican,4.7,-1.7000000000000002
563,1992,Utah,West,24.7,43.4,R+,-34.42,Clinton (D),Republican,4.7,0.0
564,1996,Utah,West,33.3,54.4,R+,-33.51,Clinton (D),Republican,3.4,-1.3000000000000003
565,2000,Utah,West,26.3,66.8,R+,-43.99,Bush W. (R),Republican,3.6,0.20000000000000018
566,2004,Utah,West,26.0,71.5,R+,-44.2,Bush W. (R),Republican,4.6,0.9999999999999996
567,2008,Utah,West,34.2,62.2,R+,-36.43,Obama (D),Republican,3.6,-0.9999999999999996
568,2012,Utah,West,24.7,72.5,R+,-53.18,Obama (D),Republican,4.6,0.9999999999999996
569,2016,Utah,West,27.2,45.0,R+,-26.99,Trump (R),Republican,3.2,-1.3999999999999995
570,2020,Utah,West,37.2,57.5,R+,-25.93,Biden (D),Republican,3.8,0.5999999999999996
571,2024,Utah,West,37.2,58.4,R+,-20.71,Trump (R),Republican,3.3,-0.5
572,1976,Vermont,Northeast,43.1,54.3,R+,-13.59,Carter (D),Republican,7.8,
573,1980,Vermont,Northeast,38.4,44.4,D+,3.41,Reagan (R),Democrat,6.1,-1.7000000000000002
574,1984,Vermont,Northeast,40.8,57.9,D+,1.01,Reagan (R),Democrat,4.5,-1.5999999999999996
575,1988,Vermont,Northeast,47.6,51.1,D+,4.24,Bush H.W. (R),Democrat,3.2,-1.2999999999999998
576,1992,Vermont,Northeast,46.1,30.4,D+,13.6,Clinton (D),Democrat,5.8,2.5999999999999996
577,1996,Vermont,Northeast,53.4,31.1,D+,16.9,Clinton (D),Democrat,4.2,-1.5999999999999996
578,2000,Vermont,Northeast,50.6,40.7,D+,10.34,Bush W. (R),Democrat,2.8,-1.4000000000000004
579,2004,Vermont,Northeast,58.9,38.8,D+,23.09,Bush W. (R),Democrat,3.4,0.6000000000000001
580,2008,Vermont,Northeast,67.5,30.4,D+,30.42,Obama (D),Democrat,5.2,1.8000000000000003
